Producer;Title;Year;Picname;Critic;Critic_S;Score;Rating
Domaine Grand Veneur Estate;Domaine du Clos de Sixte Lirac;2016;Domaine du Clos de Sixte Lirac 2016.jpg;Wine Advocate;WA;93+;"Wine Advocate 93+ * ""The 2016 Lirac Domaine du Clos de Sixte is a terrific wine, easily the rival to many Chteauneufs from across the river, starting with its alluring aromas of flowering garrigue and ripe cherries. A blend of 50 Grenache, 35 Syrah and 15 Mourvdre, this full-bodied wine is lush and concentrated on the palate, then turns velvety on the long finish. I'd treat it like a Chteauneuf du Pape in terms of cellaring: hold it for a few years, then drink it over the next 15."
Domaine Grand Veneur Estate;Domaine du Clos de Sixte Lirac;2016;Domaine du Clos de Sixte Lirac 2016.jpg;Wine Enthusiast;WE;93;"Wine Enthusiast 93 * ""Fleshy plum and black-cherry flavors are juxtaposed by dark shades of anise, crushed granite and sage in this bold, richly textured wine. Polished and penetrating, the wine is lifted by tangs of crushed mineral on the midpalate. It drinks beautifully now but should continue to improve through 2026."
Domaine Grand Veneur Estate;Domaine du Clos de Sixte Lirac;2016;Domaine du Clos de Sixte Lirac 2016.jpg;Jeb Dunnuck;JD;92;"Jeb Dunnuck 92 * ""Year in, year out, the Clos de Sixte Lirac is a superstar wine, and the 2016 Lirac Clos De Sixte doesnt break the trend. Made from 50 Grenache, 35 Syrah, and the rest Mourvdre, brought up in 30 oak, this beauty boasts loads of dark fruits, peppery herbs, graphite, and crushed rock. Medium to full-bodied, rich, and powerful, it stays polished and elegant on the palate, with the beautiful 2016 purity of fruit front and center. Drink it any time over the coming 7-8 years."""
Merry Edwards;Merry Edwards Russian River Pinot Noir;2018;Merry Edwards Russian River Pinot Noir 2018.jpg;Wine Enthusiast;WE;94;Wine Enthusiast 94 * Supple in tannin and earthy in black tea, this appellation wine is delicious, with depth and freshness. Lively acidity boosts a core of dark cherry, pomegranate and cherrythe fruit well contrasted in nutmeg and clove. ~V.B.
Felsina;Felsina Chianti Classico;2018;Felsina Chianti Classico 2018.jpg;James Suckling;JS;93;"James Suckling 93 * ""Perfumed and fresh with cherries, cedar and hints of dried flowers. Its medium-bodied with fine tannins and a long, direct finish. Really lively and fresh. Very typical for a top Chianti Classico."""
Felsina;Felsina Chianti Classico;2018;Felsina Chianti Classico 2018.jpg;Vinous;VIN;92;"Vinous Media 92 * ""The 2018 Chianti Classico Berardenga is endowed with so much class. In 2018, the Classico is a bit more restrained than it can be. That mid-weight sense of structure, though, gives the wine quite a bit of early appeal. Even so, I would cellar the 2018 for a few years, as all the elements haven't fully come together just yet. Dark cherry, game, smoke, licorice and earthy notes are a reminder we are in Castelnuovo Berardenga, even if the 2018 has less weight and overt power than Flsina fans are used to seeing.""~Antonio Galloni"
Doubleback;Doubleback Cabernet Sauvignon;2017;Doubleback Cabernet Sauvignon 2017.jpg;Jeb Dunnuck;JD;95;"Jeb Dunnuck 95 * ""Deep purple-colored, the 2016 Cabernet Sauvignon offers a beautiful bouquet of crème de cassis, graphite, and spicy wood that develops nicely with additional time in the glass. Medium to full-bodied, beautifully balanced, and silky on the palate, with terrific purity, it has building tannins and a great finish, all giving it an accessible yet also age-worthy feel. It will keep for two decades. This cuvée is 89% Cabernet Sauvignon, 4% Petit Verdot, 4% Malbec, and the balance Merlot, brought up in 80% new French oak."" ~ JD"
Doubleback;Doubleback Cabernet Sauvignon;2017;Doubleback Cabernet Sauvignon 2017.jpg;Vinous;VIN;93+;"Vinous Media 93+ * ""Full medium ruby. Aromas of blackberry, cassis, licorice and graphite are a bit darker than those of the 2016. Densely packed, even a bit youthfully imploded, offering terrific energy and peppery vinosity to its chewy flavors of blackberry, cassis, licorice, bitter chocolate and minerals. Lovely salinity contributes nuance but there's also enticing fruit sweetness here. Finishes with surprising floral lift and sneaky length, with the chewy, building tannins in need of patience but avoiding dryness even in the early going. This savory, vibrant, firmly structured wine is more pliant and deep than the gripping 2016 but will require patience as well."" ~ ST"
Doubleback;Doubleback Cabernet Sauvignon;2017;Doubleback Cabernet Sauvignon 2017.jpg;Wine Spectator;WS;93;"Wine Spectator 93 * ""Combines structure with elegance and polish, offering expressive black berry, mocha and thyme accents that take on richness toward refined tannins. Drink now through 2025. 2,744 cases made."" ~ TF"
Doubleback;Doubleback Cabernet Sauvignon;2017;Doubleback Cabernet Sauvignon 2017.jpg;Wine Spectator;WS;00;“It (Doubleback) shows every sign of becoming the latest cult wine.” —Harvey Steinman, Wine Spectator.
Routestock Cellars;RouteStock Cellars Route 116 Pinot Noir;2018;RouteStock Cellars Route 116 Pinot Noir 2018.jpg;Wine Spectator;WS;91;Wine Spectator 91 * Svelte, with a crisp minerally composure to the dried raspberry and berry flavors that are well-structured. Finish offers notes of forest floor, with floral accents. Drink now through 2024. 4,380 cases made. Kim Marcus, June 2020
Routestock Cellars;RouteStock Cellars Route 116 Pinot Noir;2018;RouteStock Cellars Route 116 Pinot Noir 2018.jpg;Wine Enthusiast;WE;90;Wine Enthusiast 90 * A wealth of savory earthiness is met by layers of balanced black cherry, wood and sage in this well-made, attractively priced wine. The oak and tannin are well mannered and integrated, allowing room for the acidity and subtle baking spice to linger. Virginie Boone, July 2020
Intrinsic;Intrinsic Cabernet Sauvignon;2017;Intrinsic Cabernet Sauvignon 2017.jpg;James Suckling;JS;92;"James Suckling 92 * ""A wine that delivers a very fragrant, floral edge and has a deeply integrated array of violet and red plums, as well as tomato paste. Half the wine is aged for nine months on skins and this has really meshed the tannins nicely. A blend of 96 cabernet sauvignon and 4 cabernet franc."""
Intrinsic;Intrinsic Cabernet Sauvignon;2017;Intrinsic Cabernet Sauvignon 2017.jpg;Decanter;D;91;Decanter 91 * “A lively nose with a blend of violets and blackberry fruit kicks off this fun, engaging Washington Cabernet from Chateau Ste-Michelle that sources fruit from both Horse Heaven Hills and Columbia Valley. Mocha mixes it up with smoky undertones and lays the groundwork for well-managed structure, thanks in part to an extended maceration of nine months that saw half of the wine aged on the skins prior to blending.“
Mettler Family;Mettler Family Vineyards Petite Sirah;2018;Mettler Family Vineyards Petite Sirah 2018.jpg;Wine Enthusiast;WE;93;Wine Enthusiast Magazine Best of the Year 2020 “cellar selection” 93
Castellare di Castellina;Castellare Chianti Classico;2018;Castellare Chianti Classico 2018.jpg;Vinous;VIN;92;"Vinous Media 92 * ""The 2018 Chianti Classico is an absolutely joyous wine. Bright red cherry fruit, tangy acids and sweet floral notes all run a translucent, super-expressive Chianti Classico that quite frankly knocks it out of the park. The 2018 is so delineated, so vibrant and just so incredibly delicious. The purity of the flavors is just remarkable. The oak needs a bit of time to fully integrate, but it already has over the last few months. This is what Sangiovese (called Sangioveto here) and Chianti Classico are all about. Best of all, the 2018 is a screaming value. Don't miss it."""
Chateau Haut-Maurac;Chateau Maurac Haut-Medoc;2016;Chateau Maurac Haut-Medoc 2016.jpg;Wine Enthusiast;WE;92;Wine Enthusiast 92 * This wine comes from a 24-acre estate in northern Haut-Mdoc, close to Saint -Estphe. Its rich tannins are prominent yet balanced by the dense, ripe black fruits. With 55 Merlot in the blend, it is bold and opulent in character. Drink from 2023.~RV
Paolo Scavino;Paolo Scavino Prapo Barolo;2016;Paolo Scavino Prapo Barolo 2016.jpg;Wine Advocate;WA;96;"Wine Advocate 96 * ""The Paolo Scavino 2016 Barolo Prap (with fruit from Serralunga d'Alba) opens to a beautifully saturated appearance with bold fruit aromas of black cherry, plum and dried currant. Those rusty mineral notes that are so distinctive of this growing area come through loud and clear. This is the second harvest to emerge from this plot of land in Prap that the Scavino family purchased in 2008 and replanted two years later. We're off to a great start with high-scoring and cellar-worthy wines from both 2015 and 2016. I'd give a slight edge to this vintage, thanks to the sharp precision and linearity of its aromas."
Paolo Scavino;Paolo Scavino Prapo Barolo;2016;Paolo Scavino Prapo Barolo 2016.jpg;Vinous;VIN;96;"Vinous Media 96 * ""The 2016 Barolo Prap is an exotic, beguiling beauty. Dark cherry, black plum, cloves, new leather, spice and menthol infuse the 2016 with captivating nuance and inner sweetness. In 2016, the Prap is a wine of substantial depth and intensity. It is also the first wine in this range with a fruit profile decidedly on the riper side of things. -- Antonio Galloni"""
Paolo Scavino;Paolo Scavino Prapo Barolo;2016;Paolo Scavino Prapo Barolo 2016.jpg;Wine Spectator;WS;94;"Wine Spectator 94 * ""Rose, cherry, freshly cut hay and tobacco notes, with a light accent of oak spice, are the highlights of this elegant, complex Barolo. Silky and harmonious, with well-integrated tannins, freshness and a spicy aftertaste. Best from 2023 through 2042. 475 cases made, 150 cases imported.  BS"""
Paolo Scavino;Paolo Scavino Prapo Barolo;2016;Paolo Scavino Prapo Barolo 2016.jpg;Wine Enthusiast;WE;94;"Wine Enthusiast 94 * ""Menthol, iris, new leather and dark spice aromas shape the nose. Full bodied and concentrated, the palate delivers mature Morello cherry, blood orange, licorice and white pepper alongside taut, close-grained tannins before an espresso close."""
Chateau La Cardonne;Chateau La Cardonne Medoc;2016;Chateau La Cardonne Medoc 2016.jpg;Vinous;VIN;91;Vinous Media 91 * The 2016 La Cardonne has a lively bouquet with red and black fruit, cedar and light mint aromas, quite Pauillac in style. The palate is medium-bodied with supple tannin, vibrant and quite precise with well judged oak towards the persistent finish. Looking for a Cru Bourgeois in the Mdoc? Look no further. Superb. Tasted at the Cru Bourgeois tasting in London. * by Vinous Media, NM, 2018.
Chateau La Cardonne;Chateau La Cardonne Medoc;2016;Chateau La Cardonne Medoc 2016.jpg;Decanter;D;90;Chateau La Cardonne 2000 was voted by Decanter Magazine as the Best Cru Bourgeois of that vintage, and their 2005 vintage scored 90 points in the International Wine Challenge. More recently, their 2009 vintage scored an amazing 92 points in Wine Spectator, higher than many of the Medoc Grand Cru Classe wines, and the 2010 vintage was scored at 90 points by Robert Parker and by Robin Brooks (Decanter Magazine).
La Vieille Ferme;La Vieille Ferme Rouge;0000;La Vieille Ferme Rouge.jpg;Wine & Spirits;WAS;90;Wine & Spirits 90 * “The Perrin family of Château Beaucastel in Châteauneuf-du-Pape make this wine at their estate in Ventoux, blending equal parts cinsault and grenache with 20 percent syrah. The 2017, from the driest vintage they’ve experienced in 30 years, is firm and crisp, with tangy berry flavors playing over a stony savor that holds the wine long and clean.”-W&S
Dashe Cellars;Dashe Vineyard Select Zinfandel;2018;Dashe Vineyard Select Zinfandel 2018.jpg;Wine Enthusiast;WE;92;"Wine Enthusiast 92 * ""This seductive wine shows a lot of polish and nuanced oak spices for a Zinfandel, as cinnamon, cedar and vanilla mingle with deep, dark-blackberry and black-currant flavors. Blended from various Northern California vineyards, it's laced with fine-grained tannins and will certainly improve through at least 2025."""
Chateau Haut Plaisance;Ch. Haut Plaisance St. Emilion;2015;Ch. Haut Plaisance St. Emilion 2015.jpg;James Suckling;JS;90;James Suckling 90 * A soft and silky young red with currant, plum and chocolate character. Medium body, integrated tannins and a flavorful finish. Focused and polished. Drink in 2020.
Lopez De Heredia;Lopez de Heredia Tondonia Reserva Rioja;2008;Lopez de Heredia Tondonia Reserva Rioja 2008.jpg;Wine Advocate;WA;95;"The Wine Advocate 95 * ""The nose of the 2008 Via Tondonia Reserva is very elegant, fresh and with an herbal twist, starting to show the complexity of the aged wines that are sometimes still too young when they are released 10+ years from the vintage! The palate is medium-bodied, with lightness and depth, very classical with extra freshness and all that is needed for a long development in bottle. This is the more Tondonia of the two vintages I tasted side by side. There are notes of maple syrup, smoke, licorice and crisp fruit. The palate is more austere, crunchy and reveals the chalkiness of the soils. There's more definition and precision here."" ~ LG"
Lopez De Heredia;Lopez de Heredia Tondonia Reserva Rioja;2008;Lopez de Heredia Tondonia Reserva Rioja 2008.jpg;James Suckling;JS;95;"James Suckling 95 * ""Lots of dried fruit with plum, light raisin, chocolate and toasted oak. Some balsamic undertones. White truffles and dried flowers. Medium body, creamy tannins and savory, balsamic undertones. Extreme and unique, as always. Drink now."" ~ JS"
Martinelli;Martinelli Giuseppe & Luisa Zinfandel;2019;Martinelli Giuseppe & Luisa Zinfandel 2019.jpg;Wine Advocate;WA;97;"Wine Advocate 97 * ""Medium ruby-purple in color, the 2019 Zinfandel Giuseppe & Luisa bursts with singular aromas of dried lavender and citrus peel, smoky, mineral-like undertones and loads of exotic spices over a core of wild berry preserves and peaches. It's incredible in the mouth, its full flavors delivered in a silky, ultra fresh and lifted frame, and it finishes with loads of floral nuance. Wow! 1,653 cases produced."""
